iter	Passed	Remaining
1170	16505	25779
1171	16519	25765
1172	16532	25749
1173	16546	25736
1174	16560	25721
1175	16574	25706
1176	16587	25691
1177	16601	25677
1178	16614	25662
1179	16628	25647
1180	16643	25634
1181	16656	25619
1182	16669	25603
1183	16682	25587
1184	16696	25573
1185	16710	25559
1186	16723	25543
1187	16736	25527
1188	16751	25514
1189	16766	25501
1190	16779	25485
1191	16792	25469
1192	16805	25454
1193	16817	25438
1194	16830	25422
1195	16843	25406
1196	16856	25390
1197	16869	25375
1198	16883	25359
1199	16896	25344
1200	16909	25328
1201	16922	25312
1202	16934	25296
1203	16948	25281
1204	16961	25265
1205	16974	25249
1206	16986	25234
1207	16999	25218
1208	17012	25202
1209	17025	25186
1210	17038	25170
1211	17051	25155
1212	17064	25139
1213	17077	25124
1214	17091	25109
1215	17105	25094
1216	17118	25080
1217	17133	25067
1218	17147	25053
1219	17170	25052
1220	17195	25053
1221	17217	25051
1222	17242	25052
1223	17262	25048
1224	17278	25036
1225	17293	25023
1226	17307	25008
1227	17321	24994
1228	17335	24980
1229	17349	24965
1230	17363	24951
1231	17376	24936
1232	17390	24921
1233	17403	24906
1234	17416	24891
1235	17429	24875
1236	17443	24860
1237	17456	24845
1238	17471	24832
1239	17484	24816
1240	17497	24800
1241	17510	24785
1242	17523	24769
1243	17537	24755
1244	17550	24739
1245	17564	24725
1246	17576	24709
1247	17590	24694
1248	17603	24678
1249	17616	24663
1250	17630	24648
1251	17643	24633
1252	17658	24620
1253	17672	24605
1254	17685	24589
1255	17697	24574
1256	17711	24558
1257	17724	24543
1258	17737	24527
1259	17750	24512
1260	17764	24497
1261	17777	24483
1262	17791	24468
1263	17804	24453
1264	17818	24439
1265	17831	24423
1266	17845	24409
1267	17859	24394
1268	17873	24380
1269	17887	24366
1270	17900	24351
1271	17914	24336
1272	17928	24321
1273	17941	24306
1274	17954	24291
1275	17967	24276
1276	17981	24262
1277	17995	24247
1278	18009	24233
1279	18022	24218
1280	18037	24204
1281	18050	24189
1282	18064	24174
